age,pos,Matches Played,total_minutes,Goals,Assists,Non Penalty Goals,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,Interceptions,Clearances,Passes Completed,Pass completion %,Key passes,Take ons attempted,% Successful take-ons,Total Shots,Shots p 90,Goals per shot,Shot creating actions p 90,Goal creating actions p 90,% Aerial Duels won,% Dribbles tackled,Shots blocked,Passes blocked,Errors made,touches_def_pen,Possessions lost,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,market_value_in_eur,player,season,predicted_value,actual_value,value_gap,value_gap_pct
23,MF,14,863,2,2,2,2.2,2.2,36,32,0.21,0.21,26,19,4,3,218,75.7,17,41,51.2,28,0.94,0.07,4.28,0.73,0.0,46.2,0,7,0,7,15,0,0.0,0,0.0,0,0.0,0.0,65000000.0,Federico Chiesa,2021-2022,24565597.114008196,65000000.0,-40434402.885991804,-62.20677367075662
19,DF,29,2462,1,12,1,1.6,1.6,70,157,0.04,0.44,61,39,35,68,1644,73.5,48,27,51.9,29,0.33,0.03,3.51,0.66,28.1,52.9,3,16,0,70,14,0,0.0,0,0.0,0,0.0,0.0,80000000.0,Trent Alexander-Arnold,2018-2019,39946884.9595155,80000000.0,-40053115.0404845,-50.066393800605624
22,FW,30,1779,1,4,1,4.1,4.1,116,95,0.05,0.2,12,8,14,7,839,81.9,30,60,68.3,45,0.86,0.02,3.39,0.51,22.2,8.3,1,15,0,6,15,0,0.0,0,0.0,0,0.0,0.0,60000000.0,Marco Asensio,2018-2019,20609686.848756213,60000000.0,-39390313.15124379,-65.65052191873966
26,MF,29,2312,3,0,3,2.6,2.6,15,111,0.12,0.0,86,52,41,56,1431,87.2,14,21,81.0,40,0.31,0.08,2.1,0.12,61.9,40.4,12,40,3,99,17,0,0.0,0,0.0,0,0.0,0.0,60000000.0,Casemiro,2018-2019,20828553.319519214,60000000.0,-39171446.680480786,-65.28574446746798
22,DF,31,2311,1,2,1,0.3,0.3,30,132,0.04,0.08,44,25,35,59,1599,88.3,14,19,57.9,9,0.08,0.11,1.75,0.19,62.3,50.0,12,10,1,242,5,0,0.0,0,0.0,0,0.0,0.0,60000000.0,Alessandro Bastoni,2021-2022,20961570.71505242,60000000.0,-39038429.28494758,-65.06404880824597
26,DF,25,2128,3,1,3,2.2,2.2,14,117,0.13,0.04,27,21,27,75,1612,92.7,3,2,100.0,15,0.34,0.2,0.72,0.21,63.6,57.7,9,12,2,194,3,0,0.0,0,0.0,0,0.0,0.0,75000000.0,Marquinhos,2020-2021,36043087.27803348,75000000.0,-38956912.72196652,-51.94255029595536
27,MF,32,2482,5,3,5,3.3,3.3,26,163,0.18,0.11,77,43,16,55,1076,76.2,20,41,58.5,30,0.4,0.17,2.36,0.29,60.5,45.8,11,25,3,91,42,0,0.0,0,0.0,0,0.0,0.0,50000000.0,Mikel Merino,2023-2024,11156889.459103765,50000000.0,-38843110.54089624,-77.68622108179247
26,FW,34,2018,5,2,5,7.4,7.4,101,158,0.22,0.09,16,11,12,8,1241,84.9,32,90,56.7,68,1.38,0.07,4.06,0.31,24.0,31.8,2,19,0,8,46,0,0.0,0,0.0,0,0.0,0.0,90000000.0,Philippe Coutinho,2018-2019,51438097.523369394,90000000.0,-38561902.476630606,-42.84655830736734
25,GK,35,3150,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,8,903,75.1,0,0,0.0,0,0.0,0.0,0.11,0.0,66.7,0.0,0,0,1,1140,0,0,0.0,0,0.0,0,0.0,0.0,60000000.0,Thibaut Courtois,2017-2018,21746777.454795524,60000000.0,-38253222.545204476,-63.755370908674124
21,FW,29,1661,8,5,8,3.8,3.8,113,80,0.43,0.27,23,15,5,4,764,76.1,45,111,61.3,39,0.92,0.21,4.33,0.65,47.1,33.3,0,13,0,6,44,0,0.0,0,0.0,0,0.0,0.0,100000000.0,Ousmane Dembélé,2018-2019,62057035.4321411,100000000.0,-37942964.5678589,-37.942964567858894
