age,pos,Matches Played,total_minutes,Goals,Assists,Non Penalty Goals,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,Interceptions,Clearances,Passes Completed,Pass completion %,Key passes,Take ons attempted,% Successful take-ons,Total Shots,Shots p 90,Goals per shot,Shot creating actions p 90,Goal creating actions p 90,% Aerial Duels won,% Dribbles tackled,Shots blocked,Passes blocked,Errors made,touches_def_pen,Possessions lost,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,market_value_in_eur,player,season,predicted_value,actual_value,value_gap,value_gap_pct
23,MF,26,2266,1,2,1,1.6,1.6,56,120,0.04,0.08,84,50,34,39,1044,80.4,12,53,83.0,29,0.36,0.03,1.87,0.4,45.1,37.5,4,35,2,47,28,0,0.0,0,0.0,0,0.0,0.0,2800000.0,Habib Maïga,2019-2020,13404627.66709259,2800000.0,10604627.66709259,378.7367023961639
30,MF,35,3058,10,8,7,10.2,7.9,154,112,0.29,0.24,37,23,26,20,609,62.6,47,184,49.5,58,0.65,0.12,3.21,0.53,23.8,0.0,0,28,0,28,78,0,0.0,0,0.0,0,0.0,0.0,5000000.0,José Luis Morales,2017-2018,15590160.02430084,5000000.0,10590160.02430084,211.80320048601678
24,FW,35,2950,22,11,19,16.7,13.6,192,210,0.67,0.34,44,28,17,20,1314,71.5,77,171,69.6,126,1.43,0.15,5.95,0.82,32.6,0.0,1,21,0,26,86,0,0.0,0,0.0,0,0.0,0.0,50000000.0,Florian Thauvin,2017-2018,60535338.2793405,50000000.0,10535338.279340498,21.070676558680994
18,FW,28,1218,7,3,7,5.8,5.8,41,21,0.52,0.22,8,2,2,2,222,76.3,15,45,51.1,32,1.26,0.22,3.03,0.74,17.4,14.3,0,11,0,3,31,0,0.0,0,0.0,0,0.0,0.0,10000000.0,Arnaud Kalimuendo,2020-2021,20456926.434999388,10000000.0,10456926.434999388,104.56926434999387
27,FW,33,2957,6,10,5,5.9,5.1,92,121,0.18,0.3,36,21,32,38,819,65.9,50,128,50.0,61,0.67,0.08,3.38,0.61,51.4,46.2,0,22,0,43,48,0,0.0,0,0.0,0,0.0,0.0,8000000.0,Zinedine Ferhat,2020-2021,18410225.547359884,8000000.0,10410225.547359884,130.12781934199856
26,DF,31,2790,3,0,3,1.8,1.8,28,129,0.1,0.0,26,20,44,138,1756,85.6,1,10,80.0,14,0.16,0.21,0.68,0.06,54.7,55.2,29,17,2,234,5,0,0.0,0,0.0,0,0.0,0.0,8000000.0,Robin Knoche,2018-2019,18389591.04960117,8000000.0,10389591.049601171,129.86988812001462
22,DF,21,1696,5,2,5,2.0,2.0,15,95,0.27,0.11,29,20,21,49,1206,92.0,13,8,62.5,16,0.37,0.31,1.17,0.11,62.7,75.0,8,8,1,105,5,0,0.0,0,0.0,0,0.0,0.0,18000000.0,Bafodé Diakité,2023-2024,28368408.052439284,18000000.0,10368408.052439284,57.602266957996015
20,FW,35,2856,12,7,10,8.4,5.9,153,169,0.38,0.22,15,10,14,6,1182,75.0,87,141,66.0,72,0.88,0.14,5.74,0.69,26.9,0.0,1,12,0,3,65,0,0.0,0,0.0,0,0.0,0.0,45000000.0,Malcom,2017-2018,55203637.10024246,45000000.0,10203637.100242458,22.67474911164991
22,MF,32,2350,1,2,1,1.9,1.9,30,155,0.04,0.08,73,49,40,13,1166,86.2,28,50,70.0,28,0.23,0.04,3.33,0.23,46.6,0.0,6,36,1,25,51,0,0.0,0,0.0,0,0.0,0.0,9000000.0,Valentin Rongier,2017-2018,19138669.3897383,9000000.0,10138669.389738299,112.65188210820331
17,FW,19,863,0,4,0,1.7,1.7,47,31,0.0,0.42,13,9,1,2,288,76.2,22,51,52.9,24,1.04,0.0,4.7,0.73,12.5,50.0,0,4,0,1,13,0,0.0,0,0.0,0,0.0,0.0,6000000.0,Badredine Bouanani,2022-2023,16126588.195092313,6000000.0,10126588.195092313,168.7764699182052
